상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address
카페65도씨,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698682060989,126.812188615467,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20카페65도씨,https://m.place.naver.com/restaurant/37459407,경기 부천시 양지남로 39
블럭앤카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4727226460909,126.807530900738,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20블럭앤카페,https://m.place.naver.com/restaurant/1262904745,경기 부천시 범안로96번길 23 4단지상가 3층
한우세계,한식,갈비/삼겹살,한식 음식점업,범박동,37.4701589658587,126.80795599548,한식갈비/삼겹살한식 음식점업,범박동%20한우세계,https://m.place.naver.com/restaurant/31629816,경기 부천시 범안로 130-21
마론,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4733626376413,126.812924687767,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20마론,https://m.place.naver.com/restaurant/37435543,경기 부천시 양지로 115 1층 카페마론
부어치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4688264242315,126.806270153294,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20부어치킨,https://m.place.naver.com/restaurant/1654229456,경기 부천시 범안로219번길 19
정담은보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4696242815002,126.812124646697,한식족발/보쌈전문한식 음식점업,범박동%20정담은보쌈,https://m.place.naver.com/restaurant/37453109,경기 부천시 양지남로 41
아구세상,일식/수산물,아구전문,한식 음식점업,범박동,37.4701766706146,126.812398526659,일식/수산물아구전문한식 음식점업,범박동%20아구세상,https://m.place.naver.com/restaurant/35726775,경기 부천시 양지남로 33-1
고봉민김밥인부천옥길점,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4675351175665,126.822150862624,분식라면김밥분식분식 및 김밥 전문점,범박동%20고봉민김밥인부천옥길점,https://m.place.naver.com/restaurant/900646304,경기 부천시 옥길로 117
계림원,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4689622435877,126.820692773489,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20계림원,https://m.place.naver.com/restaurant/38591132,경기 부천시 양지로176번길 8-12 1층 계림원
전주콩나물국밥,한식,한식/백반/한정식,한식 음식점업,범박동,37.4693275514864,126.820280063275,한식한식/백반/한정식한식 음식점업,범박동%20전주콩나물국밥,https://m.place.naver.com/restaurant/41781108,경기 부천시 양지로166번길 3
헨젤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4702003869115,126.81926021095,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20헨젤,https://m.place.naver.com/restaurant/782831457,경기 부천시 양지로152번길 3 1층 henjell
예당어죽닭발,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4703677906749,126.812587686038,별식/퓨전요리죽전문점한식 음식점업,범박동%20예당어죽닭발,https://m.place.naver.com/restaurant/37187175,경기 부천시 양지남로 31 1층 예당어죽닭발
공간,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4696804330729,126.818624016269,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20공간,https://m.place.naver.com/restaurant/1330739200,경기 부천시 범안로 117 현대리치모아 506호
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4677529115346,126.82230570854,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20BHC치킨,https://m.place.naver.com/restaurant/1416221622,경기 부천시 양지로67번길 34
쥬시,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4675351175665,126.822150862624,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20쥬시,https://m.place.naver.com/restaurant/1185246997,경기 부천시 양지로184번길 29 116호
본죽,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.467753024189,126.822317011287,별식/퓨전요리죽전문점한식 음식점업,범박동%20본죽,https://m.place.naver.com/restaurant/1256987099,경기 부천시 범안로 118 신한은행365) 영플러스 101호
영양사가차려주는밥상,한식,한식/백반/한정식,한식 음식점업,범박동,37.4684562851609,126.821458131721,한식한식/백반/한정식한식 음식점업,범박동%20영양사가차려주는밥상,https://m.place.naver.com/restaurant/1802642578,경기 부천시 옥길로 116 문영퀸즈파크 A동 지하1층
청년다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4673174360858,126.822007320274,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20청년다방,https://m.place.naver.com/restaurant/1605463968,경기 부천시 옥길로 113 상림프라자 102호
감탄떡볶이범박점,분식,떡볶이전문,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043,분식떡볶이전문분식 및 김밥 전문점,범박동%20감탄떡볶이범박점,https://m.place.naver.com/restaurant/784508270,경기 부천시 범안로 117
명인참치,일식/수산물,참치전문점,일식 음식점업,범박동,37.4726990381664,126.813240425213,일식/수산물참치전문점일식 음식점업,범박동%20명인참치,https://m.place.naver.com/restaurant/37038975,경기 부천시 양지로92번길 9-3 상정프라자 101호
범박식당,한식,한식/백반/한정식,한식 음식점업,범박동,37.4671348442594,126.811870125257,한식한식/백반/한정식한식 음식점업,범박동%20범박식당,https://m.place.naver.com/restaurant/36438461,경기 부천시 양지남로 49
도미노피자부천옥길점,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4717534455927,126.816884316529,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20도미노피자부천옥길점,https://m.place.naver.com/restaurant/872571013,경기 부천시 양지로 125 예품빌딩 1층
한라산도새기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4721850284989,126.814096440567,한식갈비/삼겹살한식 음식점업,범박동%20한라산도새기,https://m.place.naver.com/restaurant/58353341,경기 부천시 양지로 102
육대장,한식,한식/백반/한정식,한식 음식점업,범박동,37.4730613277981,126.813426886801,한식한식/백반/한정식한식 음식점업,범박동%20육대장,https://m.place.naver.com/restaurant/33758558,경기 부천시 양지로 93
이강숯불갈비,한식,갈비/삼겹살,한식 음식점업,범박동,37.4744610858647,126.81194634488,한식갈비/삼겹살한식 음식점업,범박동%20이강숯불갈비,https://m.place.naver.com/restaurant/38711169,경기 부천시 양지로 69
죽이야기,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4672485119523,126.821420571102,별식/퓨전요리죽전문점한식 음식점업,범박동%20죽이야기,https://m.place.naver.com/restaurant/12789908,경기 부천시 범안로 117 현대리치모아상가 126호
얌샘김밥,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4626379553638,126.812698640049,분식라면김밥분식분식 및 김밥 전문점,범박동%20얌샘김밥,https://m.place.naver.com/restaurant/1232756989,경기 부천시 범안로 221
홍루이젠,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4655747846638,126.827076332873,"패스트푸드샌드위치전문점피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20홍루이젠,https://m.place.naver.com/restaurant/1127590879,경기 부천시 양지남로 22 1층
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4626382960409,126.812732545861,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20이디야커피,https://m.place.naver.com/restaurant/33252921,경기 부천시 양지로67번길 26
코바코,양식,돈가스전문점,서양식 음식점업,범박동,37.4672485119523,126.821420571102,양식돈가스전문점서양식 음식점업,범박동%20코바코,https://m.place.naver.com/restaurant/1247295677,경기 부천시 양지로184번길 29
옥길동커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4669179977131,126.823517071921,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20옥길동커피,https://m.place.naver.com/restaurant/387395309,경기 부천시 범안로 117
옥길동갈매기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4679798269767,126.822471716806,한식갈비/삼겹살한식 음식점업,범박동%20옥길동갈매기,https://m.place.naver.com/restaurant/1654114240,경기 부천시 양지로171번길 29 1층
커피에반하다,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.468597723533,126.821184599758,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20커피에반하다,https://m.place.naver.com/restaurant/1525191265,경기 부천시 양지로184번길 8-14
원할머니보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4698038772609,126.819255143309,한식족발/보쌈전문한식 음식점업,범박동%20원할머니보쌈,https://m.place.naver.com/restaurant/12928616,경기 부천시 부일로 732
토프레소,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698399931171,126.809385467564,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20토프레소,https://m.place.naver.com/restaurant/1250249781,경기 부천시 양지로184번길 21 1층 토프레소 옥길점
테이크파이브,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,범박동,37.4732739104564,126.813061755155,유흥주점빠/카페/스탠드빠일반유흥 주점업,범박동%20테이크파이브,https://m.place.naver.com/restaurant/35769982,경기 부천시 양지로67번길 42
Bhc치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4712023995777,126.809567347043,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20Bhc치킨,https://m.place.naver.com/restaurant/1416221622,경기 부천시 양지로67번길 34
이디아,기타음식업,고속도로휴게소,그외 기타 음식점업,범박동,37.4736904041381,126.812365539063,기타음식업고속도로휴게소그외 기타 음식점업,범박동%20이디아,https://m.place.naver.com/restaurant/33252921,경기 부천시 양지로67번길 26
베스킨라빈스부천범박점,패스트푸드,아이스크림판매,제과점업,범박동,37.475249946229,126.808858725198,패스트푸드아이스크림판매제과점업,범박동%20베스킨라빈스부천범박점,https://m.place.naver.com/restaurant/11783142,경기 부천시 범안로 77
박지훈Restaurant,일식/수산물,음식점-일식,일식 음식점업,범박동,37.4705232151822,126.812811325728,일식/수산물음식점-일식일식 음식점업,범박동%20박지훈Restaurant,https://m.place.naver.com/restaurant/37941936,경기 부천시 양지남로23번길 8-12 1층
국수나무,분식,국수/만두/칼국수,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043,분식국수/만두/칼국수분식 및 김밥 전문점,범박동%20국수나무,https://m.place.naver.com/restaurant/33213315,경기 부천시 범안로 117
국수나무,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4754451585627,126.79877098426,분식국수/만두/칼국수분식 및 김밥 전문점,소사본동%20국수나무,https://m.place.naver.com/restaurant/1884442386,경기 부천시 은성로67번길 12 소새울kcc스위첸 근린상가시설 2동 1층 202로
신도시다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4787254789071,126.793517649691,커피점/카페커피전문점/카페/다방비알콜 음료점업,소사본동%20신도시다방,https://m.place.naver.com/restaurant/1319124517,경기 부천시 소삼로 6
수란두화,중식,중국음식/중국집,중식 음식점업,소사본동,37.4802089482822,126.793199831666,중식중국음식/중국집중식 음식점업,소사본동%20수란두화,https://m.place.naver.com/restaurant/1280069436,경기 부천시 부일로 554-1
하늘분식,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4819467333377,126.79131759505,분식라면김밥분식분식 및 김밥 전문점,소사본동%20하늘분식,https://m.place.naver.com/restaurant/1146315162,경기 부천시 경인로324번길 12
두꺼비식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4799923879122,126.793169395713,한식한식/백반/한정식한식 음식점업,소사본동%20두꺼비식당,https://m.place.naver.com/restaurant/1747514524,경기 부천시 호현로 473
골뱅이포차,유흥주점,소주방/포장마차,기타 주점업,소사본동,37.4753153555329,126.794872620992,유흥주점소주방/포장마차기타 주점업,소사본동%20골뱅이포차,https://m.place.naver.com/restaurant/1455481695,경기 부천시 경인로536번길 34
한솥,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4813116161099,126.792650689737,분식라면김밥분식분식 및 김밥 전문점,소사본동%20한솥,https://m.place.naver.com/restaurant/13376437,경기 부천시 호현로489번길 6
바지락칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4726069108803,126.794350850421,분식국수/만두/칼국수분식 및 김밥 전문점,소사본동%20바지락칼국수,https://m.place.naver.com/restaurant/37779128,경기 부천시 은성로 84
복어대감,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4824450834381,126.796001846068,한식한식/백반/한정식한식 음식점업,소사본동%20복어대감,https://m.place.naver.com/restaurant/19392236,경기 부천시 소사로 214
아싸비어소사,유흥주점,호프/맥주,기타 주점업,소사본동,37.4753163143255,126.79761987258,유흥주점호프/맥주기타 주점업,소사본동%20아싸비어소사,https://m.place.naver.com/restaurant/1311589639,경기 부천시 은성로 61-1 1층
세종구내매점,한식,한식/백반/한정식,한식 음식점업,소사본동,37.480512350953,126.791148492694,한식한식/백반/한정식한식 음식점업,소사본동%20세종구내매점,https://m.place.naver.com/restaurant/1001016921,경기 부천시 호현로489번길 28 세종병원구내 매점
남해아구찜,일식/수산물,아구전문,한식 음식점업,소사본동,37.4806674454544,126.795747710549,일식/수산물아구전문한식 음식점업,소사본동%20남해아구찜,https://m.place.naver.com/restaurant/1489565187,경기 부천시 소사로 220
산새공원카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4752824398944,126.790769210731,커피점/카페커피전문점/카페/다방비알콜 음료점업,소사본동%20산새공원카페,https://m.place.naver.com/restaurant/1597068937,경기 부천시 은성로 1
대보포차,유흥주점,호프/맥주,기타 주점업,소사본동,37.478541011953,126.794866042609,유흥주점호프/맥주기타 주점업,소사본동%20대보포차,https://m.place.naver.com/restaurant/19441954,경기 부천시 부일로445번길 20
호원냉면,한식,냉면집,한식 음식점업,소사본동,37.4776799597498,126.795252968427,한식냉면집한식 음식점업,소사본동%20호원냉면,https://m.place.naver.com/restaurant/37700640,경기 부천시 소사로 217
코리안바베큐,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4800682466365,126.795305073784,닭/오리요리후라이드/양념치킨치킨 전문점,소사본동%20코리안바베큐,https://m.place.naver.com/restaurant/31609052,경기 부천시 소사로 243
투썸플레이스부천MJ컨벤션점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4817853797173,126.798465965003,커피점/카페커피전문점/카페/다방비알콜 음료점업,소사본동%20투썸플레이스부천MJ컨벤션점,https://m.place.naver.com/restaurant/1587830942,경기 부천시 경인로 386
맛골김밥,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4707188216644,126.795636026101,분식라면김밥분식분식 및 김밥 전문점,소사본동%20맛골김밥,https://m.place.naver.com/restaurant/36901147,경기 부천시 소사로 141 1층
황금풍천장어숯불꼼장어,일식/수산물,곰장어전문,한식 음식점업,소사본동,37.4798478639113,126.795783477008,일식/수산물곰장어전문한식 음식점업,소사본동%20황금풍천장어숯불꼼장어,https://m.place.naver.com/restaurant/1376874266,경기 부천시 소사로 242
장충도도왕족발,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4801776460288,126.793663895675,한식한식/백반/한정식한식 음식점업,소사본동%20장충도도왕족발,https://m.place.naver.com/restaurant/21007382,경기 부천시 경인옛로22번길 24
슬비식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.480077278195,126.793541139571,한식한식/백반/한정식한식 음식점업,소사본동%20슬비식당,https://m.place.naver.com/restaurant/19423849,경기 부천시 호현로 472 순영 케이타워
복사골,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4712011557981,126.795221306563,한식한식/백반/한정식한식 음식점업,소사본동%20복사골,https://m.place.naver.com/restaurant/1237333074,경기 부천시 소사로 102 5층
냠냠숯불두마리치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4794716515776,126.796886221152,닭/오리요리후라이드/양념치킨치킨 전문점,소사본동%20냠냠숯불두마리치킨,https://m.place.naver.com/restaurant/1925058319,경기 부천시 소삼로 47
사랑방왕돈까스,양식,정통양식/경양식,서양식 음식점업,소사본동,37.4813116161099,126.792650689737,양식정통양식/경양식서양식 음식점업,소사본동%20사랑방왕돈까스,https://m.place.naver.com/restaurant/1966358552,경기 부천시 호현로 473
반달커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4762255056355,126.793116918122,커피점/카페커피전문점/카페/다방비알콜 음료점업,소사본동%20반달커피,https://m.place.naver.com/restaurant/1237949116,경기 부천시 소사로201번길 41 1층
응응스크르,패스트푸드,아이스크림판매,제과점업,소사본동,37.4688580208819,126.800492969553,패스트푸드아이스크림판매제과점업,소사본동%20응응스크르,https://m.place.naver.com/restaurant/1605068286,경기 부천시 소사로102번길 55 소사청구아파트(상가)
뽀독,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4797188060013,126.797266672132,커피점/카페커피전문점/카페/다방비알콜 음료점업,소사본동%20뽀독,https://m.place.naver.com/restaurant/36960478,경기 부천시 소삼로 47-1 푸르지오 아파트 상가 125호
카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4827328116336,126.795058769099,커피점/카페커피전문점/카페/다방비알콜 음료점업,소사본동%20카페,https://m.place.naver.com/restaurant/1138407256,경기 부천시 은성로62번길 13 백암빌딩 101호
마시쩡,패스트푸드,아이스크림판매,제과점업,소사본동,37.4719685398419,126.803348678275,패스트푸드아이스크림판매제과점업,소사본동%20마시쩡,https://m.place.naver.com/restaurant/1946667761,경기 부천시 소사로159번길 26
명륜진사갈비,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4730402947287,126.804190792463,한식갈비/삼겹살한식 음식점업,소사본동%20명륜진사갈비,https://m.place.naver.com/restaurant/1032702452,경기 부천시 은성로 132
홍이모옛날통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4789856912507,126.794293592011,닭/오리요리후라이드/양념치킨치킨 전문점,소사본동%20홍이모옛날통닭,https://m.place.naver.com/restaurant/1346409978,경기 부천시 호현로474번길 31
치킨플러스,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4712973521314,126.795818928492,닭/오리요리후라이드/양념치킨치킨 전문점,소사본동%20치킨플러스,https://m.place.naver.com/restaurant/1058896095,경기 부천시 소사로 146
인생아구찜,일식/수산물,아구전문,한식 음식점업,소사본동,37.479782282675,126.794653899762,일식/수산물아구전문한식 음식점업,소사본동%20인생아구찜,https://m.place.naver.com/restaurant/1866387114,경기 부천시 소삼로15번길 23 1층
카페G,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4800908743959,126.795756964261,커피점/카페커피전문점/카페/다방비알콜 음료점업,소사본동%20카페G,https://m.place.naver.com/restaurant/37243999,경기 부천시 소사로 244
빨간통피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",소사본동,37.4772852732098,126.796310755636,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",소사본동%20빨간통피자,https://m.place.naver.com/restaurant/38420349,경기 부천시 소삼로30번길 27
낭만이흐르는호프앤포차,유흥주점,소주방/포장마차,기타 주점업,소사본동,37.4810414551166,126.794430155209,유흥주점소주방/포장마차기타 주점업,소사본동%20낭만이흐르는호프앤포차,https://m.place.naver.com/restaurant/1417192031,경기 부천시 경인옛로 22 110호
이들,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4707820871205,126.79919606816,분식국수/만두/칼국수분식 및 김밥 전문점,소사본동%20이들,https://m.place.naver.com/restaurant/1866949154,경기 부천시 은성로76번길 99 1층
소문난곱창,한식,곱창/양구이전문,한식 음식점업,소사본동,37.4792790625839,126.793904466535,한식곱창/양구이전문한식 음식점업,소사본동%20소문난곱창,https://m.place.naver.com/restaurant/1846474123,경기 부천시 호현로474번길 24-2
수경왕만두,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4777485538675,126.795794554751,분식국수/만두/칼국수분식 및 김밥 전문점,소사본동%20수경왕만두,https://m.place.naver.com/restaurant/1509654853,경기 부천시 소사로 220
국선참치,일식/수산물,참치전문점,일식 음식점업,소사본동,37.4775503574707,126.795797735285,일식/수산물참치전문점일식 음식점업,소사본동%20국선참치,https://m.place.naver.com/restaurant/1906970032,경기 부천시 소사로 220
BBQ치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4772388681881,126.795293967661,닭/오리요리후라이드/양념치킨치킨 전문점,소사본동%20BBQ치킨,https://m.place.naver.com/restaurant/11799011,경기 부천시 소사로 211-2 1층 비비큐
소사떡집,제과제빵떡케익,떡전문,제과점업,소사본동,37.4791804260764,126.793951276792,제과제빵떡케익떡전문제과점업,소사본동%20소사떡집,https://m.place.naver.com/restaurant/1167902009,경기 부천시 호현로474번길 22
물에빠진스파게티,양식,스파게티전문점,서양식 음식점업,소사본동,37.478556040886,126.793689965632,양식스파게티전문점서양식 음식점업,소사본동%20물에빠진스파게티,https://m.place.naver.com/restaurant/1844026433,경기 부천시 은성로19번길 76 1층 103호
칭구따라,유흥주점,호프/맥주,기타 주점업,소사본동,37.4750901323371,126.794876237682,유흥주점호프/맥주기타 주점업,소사본동%20칭구따라,https://m.place.naver.com/restaurant/1685095339,경기 부천시 은성로 38
또묵지,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4805917098673,126.793623319332,한식한식/백반/한정식한식 음식점업,소사본동%20또묵지,https://m.place.naver.com/restaurant/1235843399,경기 부천시 호현로 480
밀밭골국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4807431226011,126.79433319068,분식국수/만두/칼국수분식 및 김밥 전문점,소사본동%20밀밭골국수,https://m.place.naver.com/restaurant/1956711994,경기 부천시 소사로247번길 24
옛날시골통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4803681029026,126.793785203857,닭/오리요리후라이드/양념치킨치킨 전문점,소사본동%20옛날시골통닭,https://m.place.naver.com/restaurant/38643884,경기 부천시 경인옛로22번길 24
한잔비어,유흥주점,호프/맥주,기타 주점업,소사본동,37.4750901323371,126.794876237682,유흥주점호프/맥주기타 주점업,소사본동%20한잔비어,https://m.place.naver.com/restaurant/1706220241,경기 부천시 은성로 38
한결남원추어탕,한식,추어탕전문,한식 음식점업,소사본동,37.4807431226011,126.79433319068,한식추어탕전문한식 음식점업,소사본동%20한결남원추어탕,https://m.place.naver.com/restaurant/1579103195,경기 부천시 소사로247번길 24
우리집,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4787254789071,126.793517649691,한식한식/백반/한정식한식 음식점업,소사본동%20우리집,https://m.place.naver.com/restaurant/19258436,경기 부천시 호현로439번길 32 부천우리노리어린이집
