상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address,store_score,visitor_review
카페65도씨,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698682060989,126.812188615467,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20카페65도씨,https://m.place.naver.com/restaurant/37459407,경기 부천시 양지남로 39,4.31,/분위기좋고 대화하기 좋아요/매장은 넓어 보여 분위기 좋을것같아 방문 청결상태 별로ㅠㅠ 직원분인지 사장님인지 모르겠으나 좀 무뚝뚝했다 매장에서 먹고가는데 일회용 컵에 커피 나온거에 좀더 실망스러웠다/굿굿/조용히 얘기하기 좋아요/맛있어요/좋아요./좋아요/직원분도 친절하시고 커피가 맛있어요 !!/아포카토 맛나요/굿
블럭앤카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4727226460909,126.807530900738,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20블럭앤카페,https://m.place.naver.com/restaurant/1262904745,경기 부천시 범안로96번길 23 4단지상가 3층,,/좋아요/가까워서 아이의 놀이터^^/사장님 좋으세요~/신나는슬라임 비즈랑 블럭놀이 신나요/행사할때 정액권한번씩 끊어놔요
한우세계,한식,갈비/삼겹살,한식 음식점업,범박동,37.4701589658587,126.80795599548,한식갈비/삼겹살한식 음식점업,범박동%20한우세계,https://m.place.naver.com/restaurant/31629816,경기 부천시 범안로 130-21,,/좋아요/좋아요/좋아요/국/고기가 맛있어요/좋아요/굿/굿/좋아요
마론,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4733626376413,126.812924687767,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20마론,https://m.place.naver.com/restaurant/37435543,경기 부천시 양지로 115 1층 카페마론,4.4,"/가격도 저렴하고 빵 맛있어요. 케익생크림도 안느끼하고 안달고 맛나고, 시나몬롤도 따뜻하게데워주셨는데 달달하니 커피랑 찰떡이네요. 다만 어르신 들조금 많아서 시끄러워요. 뒤에 교회때문인지/에그타르트 너무 맛있어요♡ 다른 디저트들도 먹고 싶었지만 너무 늦게가서 맛 볼 수 없어서 아쉬웠어요./라스트오더가 9시까지라해서 왔는데 매장이 9시까지였...급하게 먹고 가지만 멀리서 온 보람이 있을 정도로 맛있네요 우리애기도 너무 잘 먹고😍 시간 되면 또 들르고 싶네요! 담번엔 여유있게 와서 디테일하게 보고 가는거로😁 포장도 잘해주셔서 감사합니다!/크림치즈 베이글 , 버터 프레첼 최애에요 맛있어요/스콘 맛있어요 커피는 좀별루/시원~하이 달달~하이 너무좋습니다^~^!!!/빵이 맛있어요. 소보루페스트리~~특이하고 맛있네요/포장해서 집에서 먹었어요~ 딸기가 엄청 들어가 있어요 ㅎㅎㅎㅎ/커피도 맛있고 분위기도 좋고 편안해요/소보로와 따뜻한 커피 어울려요~~"
부어치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4688264242315,126.806270153294,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20부어치킨,https://m.place.naver.com/restaurant/1654229456,경기 부천시 범안로219번길 19,4.69,"/제로웨이스트 실천해서 통을 가지고 가는데 감사하게도 흔쾌히 괜찮다고 해주셔서 전화로 주문하고 통가져간다고 하면 해주시더라구요. ^^ 치킨도 맛있지만 고구마튀김 감자튀김도 맛나요. 가게 사장님 사모님이 항상 친절하게 맞아주셔서 갈때마다 기분이 좋아집니다. ^^/용기 가져가서 받아 왔는데 흔쾌히 괜찮다고 해주셔서 감사해요. 다음에 주문할때 용기가져간다 말씀드리고 가기로 했습니다. 항상 친절하시고 서비스 도 잘해주시는거 같아요. 치킨을 사러가는데 기분이 좋아져서 돌아옵니다. 테이크아웃 할인도 되고 좋아요. 치킨 바삭하니 맛있었고 감자튀김도 👍/요기 치킨 맛있는데유? 매장작은데도 손님 바글바글 치맥하기 좋아요!!/치킨 포장해서 집에 와서 먹었어요. 할인도 되고 콜라랑 치킨무도 주셔서 좋아요! 바삭하고 따뜻하게 바로 먹으니 넘 맛있어요! 사장님이 친절하시고 좋아요 😄/항상 친절하고 항상 맛있어요. ^^/부어치킨이야 원래 유명한 브랜드지만, 여기는 정말 맛있습니다. 튀김옷이 정말 바삭한데 속은 반대로 촉촉하고 부드러워 말 그대로 겉바속촉입니다. 닭 염지도 잘 되어 있고 뼈 상태를 보면 늘 신선닭을 쓰는 것을 알 수 있습니다. 무엇보다 늘 친절하게 맞아주시는 사장님 내외에 매장 방문할 때마다 감동하게 됩니다. 맛과 친절을 동시에 갖춘 옥길점에 꼭 와보세요.^^/언제나 사장님 친절하고 메뉴도 맛있어요/갈때마다 기분 좋은 곳이예요. ^^/오랜만에 치맥했다. 사장님도 친절하시고, 맛쇼킹 치킨 맛이 대박, 너무 맛있어서 금방 먹어치웠다. 사장님 사업 대박나세요.^^/원래 크리스피 맛나는데 오늘은 순살이라 그런가 좀 퍽퍽했어요"
정담은보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4696242815002,126.812124646697,한식족발/보쌈전문한식 음식점업,범박동%20정담은보쌈,https://m.place.naver.com/restaurant/37453109,경기 부천시 양지남로 41,4.45,/모두 다 너무 맛있어요! 저 보쌈김치나 무말랭이 안 좋아하는데 여기 너무 맛있었어요 ㅎㅎ 보쌈 먹고 싶었는데 맛 없는게 없어서 너무 맛있게 잘 먹었 습니다 👍 완전 먹고 싶은거 상상하다가 딱 먹었는데 그 맛이 안나거나 맛이 부족하면 너무 아쉽잖아요ㅠㅠ 오늘 그게 아니라 대만족이었어요 오히려 먹고 싶어하길 잘했다하는 생각 ㅎㅎㅎ 보쌈 먹고 싶을때가면 후회 안할 것 같아요 ㅎㅎ 다음에 또 먹을거에요!!/점심특선으로 국수정식 저렴하게 먹고왔어요 국수엔 견과류도 많이 들고 보쌈 하고 같이 나오는 무말랭이와 김치도 맛있었습니다/포장해서 먹었는데 맛있게 먹었어요 김치 보쌈 정갈하게 담아주시고 맛도 좋아요! 서비스로 주신 콜라 잘 먹었습니다/언제 먹어도 맛있는 보쌈집입니다^^/고기도 촉촉하고 보쌈김치도 넘 맛있네요 ㅎㅎ/사장님 입담도 좋으시고 친절해요/굿/깔끔하고 맛있어요./강추/굴보쌈 지금 먹어야함 !!!
아구세상,일식/수산물,아구전문,한식 음식점업,범박동,37.4701766706146,126.812398526659,일식/수산물아구전문한식 음식점업,범박동%20아구세상,https://m.place.naver.com/restaurant/35726775,경기 부천시 양지남로 33-1,4.35,"/사장님이 추천한 대로 4명이 대구탕 소자, 아구찜 중자 주문했더니 남지 않을 정도로 충분히 먹을 수 있었어요. 탕과 찜의 조화는 정말 환상이었습니다. 적당히 매콤한 찜을 먹고 부드러운 탕을 곁들이니 여기 오길 잘했다는 생각만 들었어요./해물탕 국물이 시원한데 해물은 좀 빈약해요/해물찜 대 시켜서 가족4명에서 잘먹었어요 기본맛이 딱 맵지도 않고 적당하게 맛나영/아구찜이 너무 달아서, 목끝에서 달달함이 없어지질 않네요... 그래서 라면끓이고 있는중입니다./매콤하게 요청드렸는데 진짜 딱 맛있게 매콤!!맛있어요!!!/맛나용/너무 맛있게 잘 먹었어요^^ 사이드메뉴가 없는게 아쉬워요ㅜ 해물파전이나 낙지수제비 같은? 추가로 더 먹고싶은데 없어서 애매했어요/이 집 모든 메뉴가 맛있어요!/비오는날 뜨끈한 알탕좋아요/굿"
고봉민김밥인부천옥길점,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4675351175665,126.822150862624,분식라면김밥분식분식 및 김밥 전문점,범박동%20고봉민김밥인부천옥길점,https://m.place.naver.com/restaurant/900646304,경기 부천시 옥길로 117,4.3,/참치김밥 야채김밥 맛있어요/매콤어묵김밥 맛있어요~~/새우김밥 맛있어요./고봉민의 쫄면은 상징적인건데. 심하게 불어터진데다 짜고.ㅠ 다신 안가고싶습니다.ㅠㅠ 최악.ㅠ/김밥이 맛있어서 좋네요./굿/굿/맛있는 점심/넘조아요 맛있어요/굿
계림원,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4689622435877,126.820692773489,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20계림원,https://m.place.naver.com/restaurant/38591132,경기 부천시 양지로176번길 8-12 1층 계림원,4.47,/불닭보다는 역시 기본이네요 ㅜㅜ/누릉지통닭과 삼계탕 맛있어요/친절하고 음식이 한결같이 맛있습니다./잘먹었습니당/굿/좋아요/좋아요/좋아요/굿/👍
전주콩나물국밥,한식,한식/백반/한정식,한식 음식점업,범박동,37.4693275514864,126.820280063275,한식한식/백반/한정식한식 음식점업,범박동%20전주콩나물국밥,https://m.place.naver.com/restaurant/41781108,경기 부천시 양지로166번길 3,4.4,/뜨끈한 콩나물국밥 좋아요/콩나물 맛집이었는데 콩나물비리내가 나네요/가성비 좋아요./자주가요 가격도 저렴하고 가볍게 먹기 좋아요/가격이 조금 올라서 아쉽다 매장에서 뚝배기로 먹는게 맛잇다 포장은 별로인듯/오랫만에 가도 맛있었어요/일요일 오전에 웨이팅 할 줄 몰랐네요. 맛도 가격도 좋은 콩나물국밥 최고~/김치콩나물 국밥 시원해요/황태콩나물해장국과 김치콩나물해장국 시원하니 맛나요/이른 아침밥 먹으러 가기 좋아요 콩나물 국밥에 고추 다대기 많이 넣어서 먹으면 꿀맛
헨젤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4702003869115,126.81926021095,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20헨젤,https://m.place.naver.com/restaurant/782831457,경기 부천시 양지로152번길 3 1층 henjell,,/아이가 좋아했어요 ^^ 감사합니다
예당어죽닭발,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4703677906749,126.812587686038,별식/퓨전요리죽전문점한식 음식점업,범박동%20예당어죽닭발,https://m.place.naver.com/restaurant/37187175,경기 부천시 양지남로 31 1층 예당어죽닭발,,/김치맛집이에요. 어죽 잘하는 집이에요./강 추천^^/맛있어요~/ㅇㅇ/좋아요/음식 맛있어요/좋아요/맛있어요/굿/양도 많고 얼큰하면서 좋아요 김치도 맛있어요
공간,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4696804330729,126.818624016269,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20공간,https://m.place.naver.com/restaurant/1330739200,경기 부천시 범안로 117 현대리치모아 506호,4.41,/굿/깨끗해요/좋아요/ㄹ/굿!/조용하고 분위기 좋아요/선생님 친절하시고 관리 잘되어 만족해요/좋아요/좋아요/좋아요^^
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4677529115346,126.82230570854,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20BHC치킨,https://m.place.naver.com/restaurant/1416221622,경기 부천시 양지로67번길 34,4.46,/너무 맛있어요^^양도많고 신선해여 감사합니다/늘 핫뿌링클~~매우면서 땡기는맛~~ 시즈닝이 넉넉히 많아 넘 좋아여~^^/매장도 청결하고 맛도 😀/후라이드치킨 너무 맛있어요 치즈볼도 맛있어요^^/맛초킹 맛있어요/굿/좋아요/좋아요/자주 갑니다./굿
쥬시,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4675351175665,126.822150862624,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20쥬시,https://m.place.naver.com/restaurant/1185246997,경기 부천시 양지로184번길 29 116호,,/가성비 좋아요/점장님이 너무너무 친절하시구! 너무 맛있습니다! 가성비에 행복함까지 더 가져갔네요! 감사합니다!!/양 짱 많이 주시고 친절 번창하세요/맛있어요~!!과일이 너무 싱싱해요!^^/미숫가루 맛있네요/시원하고 아주 좋아요~!!/저렴하니 가성비 좋아요/음료가 너무 맛있고 친절하십니다 🙂/친절하고 너무맛나요
본죽,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.467753024189,126.822317011287,별식/퓨전요리죽전문점한식 음식점업,범박동%20본죽,https://m.place.naver.com/restaurant/1256987099,경기 부천시 범안로 118 신한은행365) 영플러스 101호,4.38,/체해서 아들램이 제대로 못먹었는데..낚지김치죽먹고 소고기야채죽도 먹고 잘먹으니 기특하네요^^ 역시 죽은 본죽입니다^^/죽 좋아해서 자주 가요/아플때 사먹는곳/가까워서 방문해요/맛있게 먹었어요/포장 해 와서 자주 먹고 있어요. 사장님도 친절하시고 모든 메뉴 다 맛있습니다. 강추해요/맛있습니다./사장님이 엄청 친절하세요/굿/좋아요
영양사가차려주는밥상,한식,한식/백반/한정식,한식 음식점업,범박동,37.4684562851609,126.821458131721,한식한식/백반/한정식한식 음식점업,범박동%20영양사가차려주는밥상,https://m.place.naver.com/restaurant/1802642578,경기 부천시 옥길로 116 문영퀸즈파크 A동 지하1층,4.31,/맛있어요/굿/Good/좋아요/음.. 종류가 생각했던것 만큼 다양하지 않음. 가성비는 글쎄요.. 맛도 그냥저냥.. 오삼불고기 인 듯 한데 냉동 오징어 사용.. 김x천x국 가서 사먹는게 나을 듯../굳/좋아요/푸짐해서 많이 먹거되네요 맛있고 깨끗해요 매뉴 고민스러울땐 아무생각없이 여기오면 딱이네요/😁/이전해서 처음가봤는데 깨끗하고 맛났어요 재방문 의사있습니다 굿
청년다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4673174360858,126.822007320274,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20청년다방,https://m.place.naver.com/restaurant/1605463968,경기 부천시 옥길로 113 상림프라자 102호,4.44,/차돌세트 푸짐해요.볶음밥도 맛있어요/오랜만에 방문해서 맛있게 먹고 갑니다~/매운 떡볶이 맛나요~/차돌떡볶이 맛있어요 :)/차돌세트 맛있어요./양도 많고 맛있어요/가격이… ㅠㅠ/맛있는곳 알바생 응대는 별로/좋아요/음식도맛있구 직원도 친절하고 넘좋아요
감탄떡볶이범박점,분식,떡볶이전문,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043,분식떡볶이전문분식 및 김밥 전문점,범박동%20감탄떡볶이범박점,https://m.place.naver.com/restaurant/784508270,경기 부천시 범안로 117,4.42,/포장해먹기 좋음/매장 직원분도 친절하시고 양도 엄청 많고 맛있습니다/좋아요/굿/굿~ㅋ/굿/떡볶이 맛있음니다/굿/굿/굿
명인참치,일식/수산물,참치전문점,일식 음식점업,범박동,37.4726990381664,126.813240425213,일식/수산물참치전문점일식 음식점업,범박동%20명인참치,https://m.place.naver.com/restaurant/37038975,경기 부천시 양지로92번길 9-3 상정프라자 101호,4.32,/^^/맛있어요/신선하고 맛있어요👍👍👍👍👍짱/😃/^^/🤭/^^/^^/좋아요/맛있어요
범박식당,한식,한식/백반/한정식,한식 음식점업,범박동,37.4671348442594,126.811870125257,한식한식/백반/한정식한식 음식점업,범박동%20범박식당,https://m.place.naver.com/restaurant/36438461,경기 부천시 양지남로 49,4.45,"/역곡에서 자주가는 맛집. 가보면 왜 맛집이라 하는지 알 수 있습니다. 가성비 좋은 이탈리아 레스토랑이라 데이트코스나 가족모임 장소로 최고예요./완전 맛있어요!!! 빵을 까르보나라 소스에 찍어 먹으면 꿀맛!!/근처에 이렇게 맛있는 파스타집이 있는줄몰랐어요~ 가격도 좋고 맛도있어서 자주 올 듯하네요 :) 빠네 강추에요!!/여기 로제 빠네 엄청 맛있어요! 크림도 넉넉해서 빵 다 찍어 먹기 충분해요~~ 피자도 토핑 다양하게 먹을 수 있어 좋네요!/명란크림파스타에 명란이 많아요. 크림의 풍미와 잘 어울립니다. 알리오올리오 파스타도 깔끔하고 맛있습니다. 사장님이 친절하세요/맥주와 함께 즐길 수있는 파스타 맛있어요! 특히 칼칼한 불마녀 파스타 추천해요:)/초창기 범박동 카페거리 생길때부터 지금까지 쭉 자리를 지키고 있는 몇 안되는 식당 중 하나예요. 분위기 내고 싶을때가 아닌, 파스타를 후루룩 먹어버 리고 싶을때 먹기 좋은 곳 아닌가 싶어요. 배달 주문 했는데요~ 최소 주문이 5,000원 이상이면 된다니요😘😁😄 혼밥할때 딱 좋았습니다./오랫만에와서 맛있게,잘먹었어요 여전히,친절하세요~/메뉴가 많아서 좋아요. ^.^* 아이와 함께 오기도 좋아요. 저희는 리조또 시켰어요~ 근처에서 스파게티 먹으러 왔는데 분위기도 괜찮네요./파스타는 역시 빠네😘 맛있어요 양이 많아서 둘이 다 못 먹을 정도네요 히힛"
도미노피자부천옥길점,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4717534455927,126.816884316529,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20도미노피자부천옥길점,https://m.place.naver.com/restaurant/872571013,경기 부천시 양지로 125 예품빌딩 1층,4.36,"/씬피자 부담없고 맛있어요/친절하고 맛있어요/피자집중 내 입맛에 제일 잘맞는 도미노피자/부천페이가능, 도미노피자 굿/피자 맛있어요/어린이날 기념 방문 포장하면 50% 할인이래요~!! 참고하셔여|!/더욱번창하세요/넘 맛있고 친절하시네요!/도미노피자 체고..~/맛있어요 포장해가기 좋아요"
한라산도새기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4721850284989,126.814096440567,한식갈비/삼겹살한식 음식점업,범박동%20한라산도새기,https://m.place.naver.com/restaurant/58353341,경기 부천시 양지로 102,4.41,"/고기도 청국장도 맛나요/일요일 점심에 아내와 방문하였습니다. 메뉴는 제주명품흑돼지오겹살 2인분, 계란찜, 공기밥을 주문하였습니다. 물통에 반찬 찌거기와 물티슈에 소스 같은 찐득한게 붙어 있었지만 그러려니 하였습니다. 고기는 양이 조금 부족해 보였지만(2인분 360g) 적당히 두툼해 아내가 좋아하기에 넘겼습니다. 문제는 계란찜이었는데 적당히 먹을만 했지만 계란찜 안에서 둥글고 다리가 많이 보이는 무언가가 누워있었습니다. 쥐며느리…종업원이 확인하.../제주도에 가지않고 제주고기 먹을수 있어서 좋았어요./오늘 같이 흐린 날에 생각나는 한라산 도새기 오겹살 역시 맛나용~~/좋아여/오랜만에 방문했네요. 맛있어요/주변고깃집에서 먹어본 고기중 최고에요.,, 그리고 비빔냉면 맛집 ㅠㅠ고기도 냉면도 다다다다다맛있어요ㅠㅠ앞으로삼겹살은 이곳으로!/냉면이 맛있어요/친절하고 맛있어요 역시소문대로네요/좋아요"
